CID,RA,DEC,zCMB,MU_SH0ES,MU_SH0ES_ERR_DIAG,mu_model,resid_mu,resid_mu_err,n_025cdeg,n_050cdeg,n_100cdeg,n_200cdeg,n_300cdeg,n_500cdeg
17884,27.5998,1.1721,0.23776,40.2317,0.172272,40.25979193315232,-0.028091933152325,0.172272,27812,112153,435096,1695288,3800637,10220208
18030,4.933,-0.4001,0.15518,39.3994,0.175858,39.23229835340023,0.1671016465997752,0.175858,26664,106251,424520,1694322,3808001,10532262
18604,340.921,0.4214,0.17483,39.7434,0.182014,39.51629410154617,0.2271058984538285,0.182014,29613,116518,445019,1663037,3466580,8584679
18617,345.762,0.8492,0.3257,41.1639,0.271274,41.03891379897301,0.1249862010269851,0.271274,30193,118371,439843,1604762,3371605,8391914
18650,328.447,0.0151,0.11243,38.6214,0.163201,38.47544638911949,0.145953610880511,0.163201,27131,105418,424210,1727333,3686540,9267800
18697,11.2239,-0.9971,0.10638,38.2611,0.195537,38.346969006593255,-0.0858690065932563,0.195537,26427,114048,463171,1809929,3979902,10736890
18740,16.8553,1.0437,0.15317,39.0991,0.159928,39.20138166059132,-0.1022816605913234,0.159928,28514,112390,456012,1882128,4050115,10555161
18787,29.7298,-1.0271,0.18915,40.1408,0.200523,39.70510151299166,0.435698487008338,0.200523,25207,103313,426754,1714212,3889116,10776306
18804,25.2656,-0.4484,0.19726,39.6932,0.130873,39.80621973200996,-0.1130197320099597,0.130873,27582,105644,422143,1668146,3760940,10571953
18807,46.6409,0.7933,0.18714,39.7694,0.13671,39.67941821617536,0.0899817838246406,0.13671,15317,61683,252999,1080847,2536394,6913986
18927,46.6825,-0.754,0.21214,39.9374,0.243726,39.9821128492864,-0.0447128492864052,0.243726,17154,64868,248684,1058807,2561924,7500798
18940,10.349,0.412,0.21099,39.9552,0.163264,39.968933331946175,-0.0137333319461774,0.163264,31059,120783,473941,1832192,4051144,10653950
190209,333.082,1.0359,0.36648,41.2327,0.155657,41.33583595281503,-0.1031359528150304,0.155657,31370,124040,472977,1652252,3475573,8728147
19027,328.884,-0.372,0.29114,40.484,0.219145,40.75904870471513,-0.2750487047151253,0.219145,26347,105057,422568,1686511,3622204,9176566
19101,7.9727,0.1383,0.20062,39.6837,0.194976,39.84698719549712,-0.1632871954971193,0.194976,25023,107014,452271,1782350,3994769,10583877
19174,25.6597,1.0304,0.16357,39.2807,0.200998,39.35743793905888,-0.07673793905888,0.200998,26933,104130,406776,1649594,3845840,10281019
19207,333.464,-0.9203,0.25721,40.5776,0.249962,40.45269326914142,0.1249067308585765,0.249962,26431,103771,404268,1573547,3456495,8786626
19230,332.891,0.7648,0.22005,39.9228,0.242946,40.07101279796318,-0.1482127979631755,0.242946,29303,123558,474672,1688744,3515694,8747459
19794,359.319,0.2494,0.29568,41.0209,0.307913,40.797510921455206,0.2233890785447911,0.307913,29937,116151,450171,1723341,3656077,9339010
1990O,258.901,16.322,0.03093,35.4926,0.166476,35.55373979440757,-0.0611397944075662,0.166476,22168,91038,357229,1449587,3305076,9414358
